PM2.5,value
57.920416666666675,57.920416666666675
48.598,48.598
60.94133333333333,60.94133333333333
60.54521739130435,60.54521739130435
71.49249999999999,71.49249999999999
61.96208333333333,61.96208333333333
57.50083333333333,57.50083333333333
52.530833333333334,52.530833333333334
48.13818181818181,48.13818181818181
53.14913043478261,53.14913043478261
53.081875,53.081875
48.30227272727273,48.30227272727273
44.43173913043478,44.43173913043478
48.89333333333334,48.89333333333334
53.86173913043478,53.86173913043478
52.5504347826087,52.5504347826087
57.54391304347826,57.54391304347826
51.87083333333334,51.87083333333334
54.61000000000001,54.61000000000001
56.66083333333333,56.66083333333333
53.843333333333334,53.843333333333334
48.70249999999999,48.70249999999999
46.73739130434783,46.73739130434783
48.329047619047614,48.329047619047614
54.470000000000006,54.470000000000006
54.23818181818182,54.23818181818182
49.60954545454546,49.60954545454546
49.72866666666666,49.72866666666666
48.46875,48.46875
46.338,46.338
41.32375,41.32375
37.86217391304348,37.86217391304348
35.38458333333333,35.38458333333333
38.63863636363636,38.63863636363636
46.432916666666664,46.432916666666664
43.76791666666667,43.76791666666667
47.20208333333333,47.20208333333333
44.36739130434783,44.36739130434783
47.04750000000001,47.04750000000001
48.63916666666666,48.63916666666666
48.409166666666664,48.409166666666664
45.17458333333334,45.17458333333334
40.037083333333335,40.037083333333335
36.05714285714286,36.05714285714286
44.865,44.865
41.72708333333333,41.72708333333333
40.83166666666667,40.83166666666667
39.36875,39.36875
41.41416666666667,41.41416666666667
42.836666666666666,42.836666666666666
44.215,44.215
43.37875,43.37875
41.0325,41.0325
39.336190476190474,39.336190476190474
37.37,37.37
33.29541666666667,33.29541666666667
33.839,33.839
31.42304347826087,31.42304347826087
35.8025,35.8025
42.160000000000004,42.160000000000004
52.871818181818185,52.871818181818185
56.77363636363636,56.77363636363636
52.91047619047619,52.91047619047619
42.46368421052632,42.46368421052632
35.3675,35.3675
34.61772727272727,34.61772727272727
34.00714285714285,34.00714285714285
38.28458333333334,38.28458333333334
38.780454545454546,38.780454545454546
35.87625,35.87625
32.77809523809524,32.77809523809524
30.040833333333335,30.040833333333335
30.38,30.38
